TRAFFIC_CONTROL_DEVICE,WEATHER_CONDITION,LIGHTING_CONDITION,ALIGNMENT,ROADWAY_SURFACE_COND,POSTED_SPEED_LIMIT,TRAFFICWAY_TYPE,CRASH_TYPE,DAMAGE,MOST_SEVERE_INJURY,INJURIES_TOTAL,narratives
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,DIVIDED - W/MEDIAN (NOT RAISED),INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,3,"I was driving on a straight and level road with no traffic control devices in sight. It was a rainy night, but thankfully the road was well-lighted, making visibility decent. The asphalt glistened in the dim light, reflecting the wet surface condition caused by the rainfall. The posted speed limit was 30, so I was cautious, keeping an eye out for any unexpected obstacles. The road was divided by a median, providing some sense of organization to the traffic flow. Despite the darkness and rain, I felt somewhat at ease knowing the road was familiar and the surroundings were not too chaotic."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,OTHER,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I cruised down the straight and level road, feeling the sunlight streaming through the clear weather. With the traffic signal ahead flashing green, I kept my speed within the 30 mph limit. The dry roadway surface provided good traction as my car smoothly glided along the other trafficway. The daylight illuminated the surroundings, making everything crystal clear. The road seemed quiet and peaceful, allowing for a relaxed drive."
TRAFFIC SIGNAL,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,35,FOUR WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road one rainy day, the sun shining brightly through the clouds. The traffic signal up ahead was on red, so I slowed down and came to a stop at the intersection of the four-way road. The road was straight and level, but the wet surface from the rain made me extra cautious. The posted speed limit was 35, so I made sure to keep within the limit as I waited for the light to change. The intersection was busy with cars going in all directions, but everyone seemed to be driving carefully in the daylight. It was a typical scene for a rainy day, with the sound of raindrops on my windshield and the hum of other cars around me."
TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,UNKNOWN,30,OTHER,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,2,"I was cruising down the road in the darkness, but thankfully it was well-lit thanks to the streetlights. The traffic signal up ahead was glowing red, reminding me to slow down to 30 mph. The road was straight and flat, making it an easy drive. Even though the surface condition was unknown, I didn't think much of it as I continued along this other type of roadway. The clear weather was a relief, providing good visibility for me as I made my way through the night."
NO CONTROLS,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with no traffic control device in sight. The fog was thick, making it hard to see more than a few feet ahead. Despite the darkness, the road was partially lit, helping me navigate through the haze. The wet road surface made my tires skid slightly as I maintained a speed of 30 mph, cautious of the slippery conditions. Being on a non-divided roadway, I kept my focus on staying within my lane and watching out for any unexpected obstacles ahead."
NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the one-way street, man, not a single traffic control device in sight. The weather was crystal clear, but the sun had long set, plunging the road into darkness. Luckily, the stretch was well-lit, so I could see clear ahead. The alignment was straight as an arrow, and the road surface dry as a bone. With the posted speed limit at a reasonable 30, I kept my foot steady on the gas. The road was quiet, just me and the hum of the engine. It was one of those nights where you could almost feel the serenity in the air."
TRAFFIC SIGNAL,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,UNKNOWN,30,UNKNOWN,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving along a straight and level road with a traffic signal ahead. The weather was foggy, making it hard to see far ahead. Despite the darkness, the road was illuminated by streetlights. I wasn't sure about the road surface conditions but kept my speed in check as the posted speed limit was 30. The trafficway type was unknown, but I remained focused on the road, hoping to reach my destination safely."
STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road where the only traffic control device was a flashing stop sign ahead. It was already dark outside, but luckily the road was well-lit. The weather was clear, so visibility wasn't an issue. The roadway surface was dry, which made for smooth driving. The speed limit was posted at 30 miles per hour, so I made sure to keep within the limit. Since the trafficway wasn't divided, I had to be extra cautious of oncoming vehicles. Despite the darkness, the road's lighting helped me navigate smoothly. It felt serene cruising down the road with everything in place for a safe journey."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,15,PARKING LOT,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving through a parking lot with no traffic controls in place. The weather was clear, and the sun was shining brightly on the straight and level road ahead. The wet surface glistened under the daylight, making everything look fresh and clean. I glanced at the speed limit sign, noting it was set at 15 miles per hour. My surroundings were peaceful, with parked cars lining the roadway, creating a maze-like path to navigate through. Despite the slick conditions, I proceeded cautiously, keeping an eye out for any potential obstacles. The quiet atmosphere of the parking lot was a stark contrast to the bustling city outside its boundaries."
NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,DIVIDED - W/MEDIAN (NOT RAISED),INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with no traffic controls in sight. The weather was clear and the road was well-lit, despite the darkness of the night. The dry surface beneath my tires provided good traction as I maintained a steady speed of 30 miles per hour, in line with the posted speed limit. The road was divided with a median separating the lanes, adding an extra sense of safety to my journey. The surroundings were calm, and I could see other vehicles traveling in the opposite direction on the other side of the road. As I continued along the familiar route, everything seemed routine and peaceful, with no signs of any imminent danger."
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,ALLEY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down this narrow alley with no stop signs or traffic lights in sight. It had been raining for a while, making the road wet and a bit slippery. Despite the weather, the daylight helped me see clearly ahead. The alley was straight and level, with no curves or obstacles in my way. I was going at a moderate speed since the posted limit was 30, and I was cautious due to the slippery conditions. The surface was glistening with water, reflecting the sunlight that managed to peek through the clouds. The combination of the wet road and the lack of traffic control devices made me more alert than usual. It felt a bit eerie being the only one on this deserted alley, but I just focused on navigating safely through the slick conditions."
NO CONTROLS,CLEAR,UNKNOWN,STRAIGHT AND LEVEL,DRY,15,PARKING LOT,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"I was cruising through a parking lot with no traffic controls in sight, the weather was clear as day, but the lighting condition was a bit unclear. The road was straight as an arrow and pretty level, with a dry surface making it easy to drive on. The speed limit was a measly 15 miles per hour, so I was casually strolling along. It was one of those moments where you just enjoy the peaceful drive and take in the surroundings."
NO CONTROLS,FREEZING RAIN/DRIZZLE,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,DIVIDED - W/MEDIAN (NOT RAISED),INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"As I drove down the straight and level road, the rain was coming down pretty hard, turning the surface wet and slippery. Despite the darkness, the road was well-lighted, which helped somewhat with visibility. There were no traffic controls in sight, so everyone was essentially on their own in navigating through the freezing rain and drizzle. The posted speed limit of 30 felt like a good call given the conditions. The road was divided with a median, providing a barrier between the lanes. It was a bit nerve-wracking trying to stay within my lane while also keeping an eye on the road ahead."
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"It was a dark and rainy night, and I was cruising down the straight and level road with no traffic controls in sight. The road was illuminated by overhead street lights, but the wet surface made me extra cautious. The posted speed limit was 30 miles per hour, so I made sure to keep my speed in check. The roadway was not divided, so I had to stay in my lane and watch out for oncoming traffic. The rain was pouring down, creating a misty layer over the road ahead. Despite the challenging conditions, I focused on the task at hand, gripping the wheel tightly as I navigated through the wet pavement. The darkness and rain added an eerie ambiance to my journey, but I was determined to reach my destination safely."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road on a straight and level stretch with a divided highway, complete with a median. The traffic signal up ahead was my next checkpoint to navigate through this busy intersection. The weather was clear, and the daylight made everything around me visible as I continued at the posted speed limit of 30 miles per hour. Despite the roadway being wet, my focus was on the road, ensuring I stayed within my lane and drove safely. The traffic flow was steady, and I kept a close eye on the surroundings as I approached the signal, anticipating the change in lights. The division in the road guided me along as I remained cautious of other vehicles around me in this typical urban setting."
TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down a straight and level four-way intersection where the traffic signal was working just fine. It was a clear night, but luckily the road was well-lit. The pavement was dry, so I wasn't too worried about losing control. With a posted speed limit of 30, I made sure to keep it steady. The darkness didn't bother me much as the streetlights illuminated the roadway."
STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road, the streetlights illuminating the path ahead as darkness had settled in. The weather was clear, not a cloud in sight, making for a pleasant evening drive. I noticed the stop sign up ahead, so I slowed down in anticipation. The road surface was dry, providing good traction as I approached the intersection. The posted speed limit of 30 mph kept me in check, ensuring I was driving safely within the limits. The trafficway was not divided, with cars traveling in both directions. Despite the quiet surroundings, I remained vigilant, knowing anything could happen on the road."
NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,20,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I cruised down the straight and level one-way road with no traffic controls in sight, the cloudy skies loomed overhead, casting a dim light over the dry roadway surface. Despite the darkness of the evening, the road was illuminated by streetlights, guiding my way at a cautious 20 mph, the posted speed limit. The quietness of the scene was almost eerie, with no other vehicles in sight as I navigated through the overcast weather. The road ahead stretched out before me, a straightforward path with no surprises or obstacles in my way. The conditions seemed calm and uneventful, yet there was an underlying tension in the air, a sense of anticipation as I continued on my journey."
NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,DIVIDED - W/MEDIAN (NOT RAISED),INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with no traffic controls in sight. The night was clear, but the darkness enveloped everything. Thankfully, the road was well-lit, allowing me to see ahead clearly. The dry road surface added to the ease of my journey as I cruised at the posted speed limit of 30 mph. The divided roadway with a median strip running through the middle provided a sense of safety, separating the lanes effectively. It felt like a calm and uneventful drive, with no obstacles in my path."
TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road, with the rain coming down pretty hard. I noticed that the traffic signal ahead was red, so I started slowing down, trying to be cautious. The road was well lit, but the wet surface was making it a bit slippery. The speed limit was 30, so I made sure to stay within that range. Since the road wasn't divided, I had to be extra careful of oncoming traffic. The darkness of the night coupled with the rain made visibility a bit challenging, but I kept my focus on the road ahead."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,20,OTHER,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"As I drove down the straight and level road on a sunny day, I noticed there were no traffic control devices in sight. The weather was clear, with the daylight casting a warm glow on the dry road surface. Even though the speed limit was just 20 miles per hour, I didn't mind taking it slow and enjoying the peaceful drive. The road, designated as ""other"" type, seemed quiet and inviting as I cruised along. The surroundings looked picturesque, with trees lining the roadside and a sense of serenity in the air. Despite the lack of bustling traffic, I remained alert and attentive, taking in the sights and sounds of the tranquil journey ahead."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road on a bright, sunny day with no traffic lights around. The sky was clear, and the daylight made everything crystal clear. The road ahead was straight and level, with a divided median separating the lanes. The pavement was dry and smooth, allowing for easy driving. The speed limit was set at 30, so I made sure to keep it steady. The trafficway was divided with a median, but it wasn't raised, so I could see the other side clearly. The perfect conditions made for a relaxing drive as I enjoyed the scenery passing by."
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with no traffic control devices in sight. The weather was rainy, making the roadway surface wet and slippery. Despite the daylight, the wet conditions made visibility a bit challenging. The posted speed limit was 30, and the trafficway was not divided, with vehicles moving in both directions. I had to stay extra cautious and alert due to the conditions, ensuring I maintained control and kept a safe distance from other vehicles on the road. The wet surface demanded a lighter touch on the brakes and a more gradual approach to acceleration. Despite the weather, I maintained a steady pace, keeping an eye out for any unexpected obstacles or sudden movements from other drivers."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road with no traffic controls in sight, the sun shining brightly in a clear sky. The road stretched out ahead of me, straight as an arrow with a smooth, dry surface. The speed limit was 30, and I was taking it easy, enjoying the daylight. The trafficway wasn't divided, just a simple, two-lane stretch through the countryside. Everything seemed calm and peaceful as I drove along, the scenery passing by in a blur as I kept my eyes on the road ahead."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with no traffic lights or stop signs in sight—it was just a regular four-way intersection. The weather was clear, and the sun was shining brightly as it was still daytime. The road surface seemed a bit wet, which made me a tad cautious even though the speed limit was only 30. The absence of any controls meant I had to be extra attentive to the other cars on the road, making sure everyone was following the rules."
TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,DIVIDED - W/MEDIAN (NOT RAISED),INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500","REPORTED, NOT EVIDENT",1,"I was cruising down the road on a rainy night, the traffic signal up ahead turning from green to yellow. The streetlights illuminated the wet pavement as I continued along the straight, level alignment of the divided roadway. Though the darkness enveloped the surroundings, the lighted road offered some visibility. The posted speed limit of 30 kept me in check as I approached the median that separated the lanes. The rain intensified, creating a slick surface on the road as I navigated through the familiar route."
TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,DIVIDED - W/MEDIAN BARRIER,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I drove down the divided road with a median barrier under the darkness of the night, the rain made the roadway glisten in a slick sheen. The traffic signal ahead glowed through the drizzle, and the lighted road illuminated my path. Despite the wet surface, the straight and level alignment of the road made it easier to navigate at the posted speed limit of 30 miles per hour. The conditions were challenging, but the median barrier provided a sense of security as I continued down the divided highway."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was cruising down a straight and level road with no traffic control devices in sight. The weather was clear, the daylight beaming down on the dry roadway surface. The posted speed limit was a comfortable 30 mph, and since the trafficway was not divided, I kept my eyes peeled for any oncoming vehicles. The calmness of the surroundings made for a pleasant drive as I enjoyed the peaceful scenery passing by."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road, no traffic lights or signs to slow me down. The weather was clear, the sun shining bright in the daylight. The road ahead stretched out straight and level, making for an easy drive. The dry surface under my wheels provided good traction as I stuck to the posted speed limit of 30. The divided highway with a median in the middle kept traffic flowing smoothly in both directions. As I enjoyed the drive, everything seemed calm and peaceful on this sunny day."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,FOUR WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level four-way street on a beautiful clear day. The traffic signal ahead of me was showing green, signaling smooth sailing ahead. The daylight was bright, casting a warm glow over the dry road surface. With a posted speed limit of 30, I was cruising along steadily. The intersection was bustling with activity, with cars moving in all directions. The conditions were ideal for a leisurely drive as I approached the traffic control device, taking in the sights and sounds of the busy streets around me."
NO CONTROLS,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,25,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving on a straight and level road with no traffic controls in place, it was dark but the weather was clear. The roadway surface was dry, and the posted speed limit was 25 miles per hour. The trafficway was not divided, so I had to be cautious of oncoming vehicles in my lane. The darkness made it a bit harder to see, but I made sure to drive attentively and stay within the speed limit. The road ahead seemed peaceful, with only a few scattered street lights illuminating the way. Despite the lack of controls, I felt confident in my ability to navigate the road safely."
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"As I was driving along a straight and level road with no traffic control devices in sight, the rain started to pour down heavily, making the roadway surface wet. It was still daylight, but the dark clouds above obscured the sunlight, creating a somewhat dim atmosphere. The speed limit on the road was 30, so I made sure to maintain a safe and steady pace. The trafficway was not divided, with vehicles moving in both directions. Despite the rain, I kept my focus on the road ahead, ensuring that I was driving cautiously to account for the slippery conditions. The calming sound of rain hitting the car roof provided a soothing backdrop to my journey."
NO CONTROLS,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with no traffic controls in place. The weather was clear, but the darkness made it a bit harder to see. The road surface was dry, which was reassuring. The posted speed limit was 30, so I made sure to keep an eye on my speed. The roadway was not divided, so I stayed in my lane as I navigated through the night."
TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT ON HILLCREST,WET,30,DIVIDED - W/MEDIAN (NOT RAISED),INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving along a straight road on Hillcrest, with a speed limit of 30 mph. The rain was coming down, making everything outside wet. The streetlights illuminated the road, but it was still pretty dark. There was a traffic signal up ahead, controlling the flow of vehicles on the divided road with a median. The road surface felt slippery due to the rain, and I had to be extra cautious while navigating through the traffic."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"Man, what a beautiful day for a drive it was! The sun was shining bright, not a cloud in sight, and the traffic signal ahead was turning green just in time for me to keep cruising. The road was flat and straight, no unexpected twists or turns to worry about. The pavement was dry beneath my wheels, providing great traction as I stuck to the posted speed limit of 30. With no dividing line on this two-lane road, I kept my eyes peeled for any oncoming traffic. The daylight made visibility crystal clear, allowing me to see far ahead. All in all, it was a perfect day for a leisurely drive without a care in the world."
UNKNOWN,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was cruising down the straight and level road at a modest 30 miles per hour, not a care in the world. The traffic control device was nowhere in sight, so I just kept my foot steady on the gas pedal. The weather was a mystery, with no signs of rain or sun to give me a clue. Lighting conditions were neither here nor there, just a neutral haze around me. The road surface felt smooth under my tires, and the alignment of the road kept me driving straight as an arrow. The trafficway wasn't divided, but it was all good as I had the lane to myself. With the unknown factors all around me, it was a bit eerie but also kind of thrilling to have this sense of mystery on my drive. I glanced at the road signs, confirming the speed limit was just 30, so I made sure not to push it. Despite not knowing all the details, I felt oddly at peace as I continued on my journey, the open road stretching out ahead of me. Little did I know what was about to unfold in the moments to come."
UNKNOWN,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"As I cruised down the road where the traffic control device was unknown, the weather seemed perfect with clear skies above. Even though it was nighttime and the lighting condition was darkness, the straight and level alignment of the road made it easy to navigate. The dry roadway surface condition further added to the sense of security as I drove within the 30 mph posted speed limit. The trafficway type was not divided, allowing for smooth and uninterrupted travel. The surroundings were quiet, with occasional streetlights illuminating the way ahead. The night air was cool, and my headlights cut through the darkness, casting a beam of light on the road ahead. The familiar route was comforting, and I felt at ease behind the wheel, enjoying the solitude of the late night drive."
NO CONTROLS,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"As I cruised along the straight and level road at night, there were no traffic control devices in sight. The weather was clear, making it easy to see the dark surroundings. The road surface felt dry beneath my wheels, allowing me to maintain a steady pace within the 30 mph speed limit. With no divider separating the lanes, I stayed focused on the unobstructed path ahead, my headlights cutting through the darkness. The quiet hum of my engine filled the air as I continued on my journey, enjoying the tranquility of the night drive."
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,ONE-WAY,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"As I was driving down the one-way street with no controls in place, the rain started coming down hard, making it difficult to see clearly. Despite the darkness, the road was well-lit, which helped a bit, but the wet surface conditions made me extra cautious. The straight and level alignment of the road gave me a sense of ease, but I knew I had to stay alert. With a posted speed limit of 30, I made sure to keep my speed in check considering the slick road. The traffic was light, and I could see the road stretching out ahead of me."
NO PASSING,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,35,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down the one-way street with no passing allowed, on a straight and level stretch of road. Despite the darkness of the night, the road was well-lighted, making visibility quite clear. The dry surface beneath my wheels provided a good grip as I cruised at the posted speed limit of 35 mph. The traffic control device reminded me to stay in my lane, and with no other vehicles in sight, it felt like a smooth and uneventful journey."
NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I made my way down the one-way road with no traffic control devices in sight, the clear weather provided a crisp night sky above. Even though the darkness enveloped the surroundings, the road was well-lit, offering visibility ahead. The straight and level alignment of the road gave me a sense of ease as I navigated through the wet roadway surface. Despite the posted speed limit of 30 miles per hour, I kept a cautious pace, knowing that the conditions could change in an instant. The one-way traffic flow added an extra layer of predictability to my journey, allowing me to focus on the road ahead without distractions."
TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,WET,25,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"I was driving down the road on a straight and level stretch, the traffic signal ahead glowed red against the cloudy sky. It was still daylight but the overcast weather made everything appear dreary. The roadway was wet from an earlier drizzle, making it a bit slippery. The posted speed limit of 25 felt just about right for the conditions. I noticed that the road was divided with a median strip separating the lanes, giving a sense of order to the traffic flow. Despite the gloomy weather, there was a steady stream of vehicles around me, everyone following the signals and staying in their lanes."
NO CONTROLS,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,CENTER TURN LANE,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,3,"I was driving late at night down a straight road with no stop signs or lights in sight. The air was thick with fog, making it hard to see more than a few feet ahead. Luckily, the road was well-lit, which helped a bit. The pavement was wet from earlier rain, adding an extra layer of danger to the already hazardous conditions. I was cruising at 30 miles per hour, staying in the center turn lane, keeping my eyes peeled for any obstacles ahead. It felt eerie, almost like I was the only one on the road. But I kept my focus, gripping the steering wheel tightly and staying alert for any sudden changes in the environment."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,35,FOUR WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving along a straight and level road at the posted speed limit of 35 mph, approaching a four-way intersection controlled by a traffic signal. The weather was clear and the daylight made visibility perfect, with the roadway surface dry and in good condition. As I approached the intersection, I noticed the traffic signals changing ahead and prepared to stop or proceed accordingly. The intersection was bustling with vehicles from all directions, but everyone seemed to be following the traffic signals and maintaining order on the road. The clear weather and daylight made it easier to navigate the busy intersection, ensuring a smooth and safe drive through the four-way crossing."
TRAFFIC SIGNAL,CLEAR,DUSK,STRAIGHT AND LEVEL,WET,25,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500",NO INDICATION OF INJURY,0,"It was a typical evening as I drove down the straight and level road, approaching a traffic signal ahead. The weather was clear, but the dusk was setting in, casting a dim light over the wet roadway. The posted speed limit of 25 mph kept me cautious as I navigated the not divided trafficway. The traffic signal loomed closer, its red light glaring in the fading daylight. As I approached the intersection, I could see other vehicles slowing down in compliance with the signal. Despite the wet road surface, my grip on the steering wheel tightened as I prepared to come to a full stop. There was a sense of anticipation in the air, a moment of suspended movement before the inevitable change in traffic lights. The atmosphere was tense, yet oddly serene, as all the elements of the road seemed to converge in this one spot. Little did I know, the events about to unfold would alter the course of my evening drive in ways I couldn't foresee."
NO CONTROLS,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,25,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a one-way street with no traffic controls, cruising at around 25 miles per hour when suddenly a sense of uncertainty lingered in the air. The weather conditions were unknown, adding a hint of mystery to the atmosphere. The street stretched out ahead, straight and level, almost inviting me to keep moving forward. The lighting was also unknown, casting a peculiar ambiance around me. As I continued on the road, the surface conditions remained a question mark, adding to the enigma of the journey. Despite the unknowns, I felt a strange sense of calm amidst the unfamiliarity, enjoying the simple act of driving through the quiet street at a leisurely pace."
